section,case,config,metric,value,unit,source,notes
correctness,full matrix,all defaults and smoke tests,result,pass,,job 85267,"make all/tests/mpi, model reference for custom/cublas/cublas_tc/cublas_tc_lt, validate-config, mpi smoke"
correctness,h512 fp16 model reference,fp16 storage-only and ffn fp16,result,pass,,job 85272,short reference checks pass; repeated training still determines whether a mode is shippable
single_gpu,h128,auto,warm_mean_throughput,2.4733152499999997,mtok/s,job 85265,"repeat >=2, lr=3e-4, steps=100, valid=4/4, all_valid=yes"
single_gpu,h128,auto,warm_median_throughput,2.4693815,mtok/s,job 85265,cv=0.698%
single_gpu,h128,cublas_tc,warm_mean_throughput,2.49435725,mtok/s,job 85265,"repeat >=2, lr=3e-4, steps=100, valid=4/4, all_valid=yes"
single_gpu,h128,cublas_tc,warm_median_throughput,2.4935295,mtok/s,job 85265,cv=0.199%
single_gpu,h128,custom,warm_mean_throughput,2.3932634999999998,mtok/s,job 85265,"repeat >=2, lr=3e-4, steps=100, valid=4/4, all_valid=yes"
single_gpu,h128,custom,warm_median_throughput,2.393319,mtok/s,job 85265,cv=0.024%
single_gpu,h256,auto,warm_mean_throughput,1.5964572499999998,mtok/s,job 85266,"repeat >=2, lr=1e-4, steps=100, valid=4/4, all_valid=yes"
single_gpu,h256,auto,warm_median_throughput,1.596402,mtok/s,job 85266,cv=0.528%
single_gpu,h256,cublas_tc,warm_mean_throughput,1.594741,mtok/s,job 85266,"repeat >=2, lr=1e-4, steps=100, valid=4/4, all_valid=yes"
single_gpu,h256,cublas_tc,warm_median_throughput,1.595602,mtok/s,job 85266,cv=0.167%
single_gpu,h256,custom,warm_mean_throughput,0.98401425,mtok/s,job 85266,"repeat >=2, lr=1e-4, steps=100, valid=4/4, all_valid=yes"
single_gpu,h256,custom,warm_median_throughput,0.983966,mtok/s,job 85266,cv=0.084%
single_gpu,h512,cublas_tc,warm_mean_throughput,0.7322617499999999,mtok/s,job 85264,"repeat >=2, lr=1e-4, steps=50, valid=4/4, all_valid=yes"
single_gpu,h512,cublas_tc,warm_median_throughput,0.7309734999999999,mtok/s,job 85264,cv=0.776%
single_gpu,h512,cublas_tc_ffn_fp16,warm_mean_throughput,0.7611186666666666,mtok/s,job 85264,"repeat >=2, lr=1e-4, steps=50, valid=3/4, all_valid=no"
single_gpu,h512,cublas_tc_ffn_fp16,warm_median_throughput,0.761259,mtok/s,job 85264,cv=0.140%
single_gpu,h512,cublas_tc_fp16_storage,warm_mean_throughput,0.7099257499999999,mtok/s,job 85264,"repeat >=2, lr=1e-4, steps=50, valid=4/4, all_valid=yes"
single_gpu,h512,cublas_tc_fp16_storage,warm_median_throughput,0.709857,mtok/s,job 85264,cv=0.271%
