Processing [profiles/h256_comm_openmp_thread_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
20.9,4243905,160,26524.4,18383.5,16639,56032,14496.9,volta_s884gemm_128x128_ldg8_f2f_tn
20.7,4194499,160,26215.6,17952.0,13728,55135,15864.8,volta_s884gemm_128x128_ldg8_f2f_nt
17.8,3611114,120,30092.6,28992.0,15680,46848,13257.9,volta_s884gemm_128x128_ldg8_f2f_nn
4.9,998169,20,49908.5,50384.0,41696,51040,1987.6,"fused_relu_backward_bias_backward_kernel(const float *, const float *, float *, float *, int, int)"
4.6,933752,20,46687.6,46687.5,46303,46912,154.8,"adam_clipped_kernel(float *, const float *, float *, float *, const float *, float, float, float, float, float, float, float, int)"
4.4,900315,40,22507.9,22495.5,21696,23104,286.9,"<unnamed>::layernorm_backward_dweight_kernel(const float *, const float *, const float *, const float *, float *, float *, int, int)"
3.7,746171,20,37308.6,37328.0,36735,37856,303.1,"bias_relu_kernel_vec4(const float4 *, const float4 *, float4 *, int, int)"
3.7,745019,40,18625.5,18720.0,16863,20480,1597.3,"void <unnamed>::layernorm_backward_dx_kernel<(bool)1>(const float *, const float *, const float *, const float *, const float *, float *, int)"
2.2,447040,20,22352.0,22368.0,22177,22496,90.7,"compute_ds_kernel(const float *, const float *, const float *, const float *, float *, int, int)"
1.9,391549,100,3915.5,4048.0,2527,5472,706.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
1.8,374429,20,18721.5,18735.5,18496,18880,108.2,"residual_layernorm_save_kernel(const float *, const float *, const float *, const float *, float *, float *, float *, float *, int, float)"
1.8,359358,20,17967.9,17952.0,17855,18336,98.8,"scale_softmax_kernel(float *, int, float)"
1.7,350526,20,17526.3,17520.0,17248,17632,86.3,volta_sgemm_64x32_sliced1x4_nn
1.3,254910,20,12745.5,12736.5,12640,12896,63.2,volta_sgemm_32x128_nt
1.2,246525,20,12326.3,12320.0,12256,12512,60.2,"layernorm_save_kernel(const float *, const float *, const float *, float *, float *, float *, int, float)"
1.1,213727,20,10686.4,10688.0,10624,10752,36.8,volta_sgemm_128x64_tn
0.9,173979,80,2174.7,2464.0,1088,3936,652.2,"scale_kernel(float *, float, int)"
0.8,171519,20,8576.0,8576.0,8512,8672,37.4,"norm_sq_kernel(const float *, float *, int)"
0.8,153793,20,7689.7,7680.5,7456,8000,138.2,"embedding_forward_kernel(const float *, const int *, float *, int, int)"
0.7,149888,20,7494.4,7552.0,6720,8576,483.0,"embedding_backward_kernel(const float *, const int *, float *, int, int)"
0.7,148322,20,7416.1,7456.0,7104,7584,134.9,"bias_add_residual_add_kernel_vec4(const float4 *, const float4 *, const float4 *, float4 *, int, int)"
0.6,115136,20,5756.8,5776.0,5536,5888,90.3,"bias_backward_kernel(const float *, float *, int, int, int)"
0.5,108702,20,5435.1,5408.0,5375,5664,63.5,"pos_embedding_kernel(const float *, float *, int, int, int)"
0.5,102718,20,5135.9,5120.0,4832,5728,217.7,"cross_entropy_kernel(const float *, const int *, float *, float *, int, float)"
0.4,90720,20,4536.0,4544.0,4480,4576,22.9,"pos_embedding_backward_kernel(const float *, float *, int, int, int)"
0.2,31103,20,1555.2,1568.0,1504,1600,24.2,"reduce_sum_kernel(const float *, float *, int)"
0.1,21985,20,1099.3,1104.0,1056,1121,23.9,"clip_scale_kernel(const float *, float *, float)"
0.1,20608,20,1030.4,1024.0,991,1057,22.4,"scale_device_scalar(float *, float)"
0.1,11488,9,1276.4,1056.0,928,2368,530.3,"init_weights_kernel(float *, int, float, unsigned int)"

Processing [profiles/h256_comm_openmp_thread_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
49.1,6255577,84,74471.2,86367.0,352,356701,55912.7,[CUDA memcpy Host-to-Device]
45.5,5793821,82,70656.4,82079.5,1344,317534,44095.7,[CUDA memcpy Device-to-Host]
5.4,684064,177,3864.8,1056.0,288,20704,4855.2,[CUDA memset]

Processing [profiles/h256_comm_openmp_thread_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 
Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
285.029,177,1.610,0.000,0.000,8.389,2.419,[CUDA memset]
75.856,84,0.903,1.052,0.001,4.391,0.691,[CUDA memcpy Host-to-Device]
70.426,82,0.859,1.052,0.000,3.354,0.500,[CUDA memcpy Device-to-Host]

Processing [profiles/h256_comm_openmp_thread_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.8,30236020,44,687182.3,429093.0,2595,6445672,1180773.6,cudaMalloc
21.6,26315733,42,626565.1,367211.0,5410,12279643,1885069.1,cudaFree
16.8,20477994,600,34130.0,5024.5,3747,12451790,545181.1,cudaLaunchKernel
16.1,19597200,160,122482.5,102013.5,13796,659811,81796.3,cuMemcpyAsync
4.6,5633637,160,35210.2,9427.5,1453,90662,39742.8,cuStreamSynchronize
4.5,5458479,1,5458479.0,5458479.0,5458479,5458479,0.0,cuMemHostRegister_v2
3.8,4665166,529,8818.8,5260.0,3647,393596,25176.5,cudaLaunchKernel_ptsz
2.9,3506371,120,29219.8,792.0,551,3160041,288371.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
1.1,1333809,6,222301.5,220383.0,7695,437589,214133.1,cudaMemcpy_ptds
0.9,1097024,80,13712.8,2445.0,1923,318444,38532.8,cudaEventSynchronize
0.7,803742,1200,669.8,371.0,270,22363,999.5,cuEventCreate
0.4,543281,84,6467.6,5961.0,3096,54152,5478.9,cudaMemsetAsync_ptsz
0.4,427979,1200,356.6,341.0,220,7614,231.7,cuEventDestroy_v2
0.3,397706,33,12051.7,11702.0,4699,58000,8749.0,cudaMemset_ptds
0.2,294944,60,4915.7,4463.5,3055,18405,2200.9,cudaMemsetAsync
0.2,243205,766,317.5,281.0,130,6663,299.9,cuGetProcAddress_v2
0.1,163177,41,3979.9,3818.0,2325,11472,1487.4,cudaDeviceSynchronize
0.1,155718,98,1589.0,1282.0,460,6683,1201.6,cudaEventCreateWithFlags
0.1,153020,1,153020.0,153020.0,153020,153020,0.0,cuMemHostUnregister
0.1,112088,80,1401.1,1288.0,942,4278,442.8,cudaEventRecord_ptsz
0.1,75904,80,948.8,801.5,541,3898,430.6,cudaEventDestroy
0.0,30979,4,7744.8,3767.5,3447,19997,8169.6,cuStreamCreate
0.0,22352,4,5588.0,4043.0,3426,10840,3529.0,cuStreamDestroy_v2
0.0,4647,3,1549.0,390.0,290,3967,2094.6,cuModuleGetLoadingMode
0.0,3747,2,1873.5,1873.5,771,2976,1559.2,cuInit
0.0,3646,2,1823.0,1823.0,821,2825,1417.0,cudaGetDriverEntryPoint_v11030

