Processing [profiles/h256_comm_pinned_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
20.9,4248826,160,26555.2,18432.0,16416,56128,14515.9,volta_s884gemm_128x128_ldg8_f2f_tn
20.7,4196743,160,26229.6,18016.0,13856,55424,15876.5,volta_s884gemm_128x128_ldg8_f2f_nt
17.7,3604910,120,30040.9,28479.5,15648,46624,13227.7,volta_s884gemm_128x128_ldg8_f2f_nn
4.8,979099,20,48955.0,49487.5,38239,49888,2534.6,"fused_relu_backward_bias_backward_kernel(const float *, const float *, float *, float *, int, int)"
4.6,933241,20,46662.1,46655.5,46432,47039,155.6,"adam_clipped_kernel(float *, const float *, float *, float *, const float *, float, float, float, float, float, float, float, int)"
4.5,915741,40,22893.5,22880.0,22368,23552,260.1,"<unnamed>::layernorm_backward_dweight_kernel(const float *, const float *, const float *, const float *, float *, float *, int, int)"
3.7,748093,40,18702.3,19264.0,16768,20576,1618.4,"void <unnamed>::layernorm_backward_dx_kernel<(bool)1>(const float *, const float *, const float *, const float *, const float *, float *, int)"
3.7,746744,20,37337.2,37279.5,37023,37888,257.9,"bias_relu_kernel_vec4(const float4 *, const float4 *, float4 *, int, int)"
2.2,447357,20,22367.9,22352.0,22176,22496,81.6,"compute_ds_kernel(const float *, const float *, const float *, const float *, float *, int, int)"
1.9,393636,100,3936.4,4032.0,2528,5120,722.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
1.8,375422,20,18771.1,18783.5,18464,19072,166.2,"residual_layernorm_save_kernel(const float *, const float *, const float *, const float *, float *, float *, float *, float *, int, float)"
1.8,359742,20,17987.1,17952.0,17888,18560,142.7,"scale_softmax_kernel(float *, int, float)"
1.7,350300,20,17515.0,17504.0,17184,17696,98.7,volta_sgemm_64x32_sliced1x4_nn
1.3,254749,20,12737.5,12704.0,12672,12928,76.5,volta_sgemm_32x128_nt
1.2,246270,20,12313.5,12288.0,12224,12544,76.1,"layernorm_save_kernel(const float *, const float *, const float *, float *, float *, float *, int, float)"
1.1,213821,20,10691.1,10688.0,10592,10784,49.7,volta_sgemm_128x64_tn
0.8,171552,20,8577.6,8576.0,8512,8672,39.6,"norm_sq_kernel(const float *, float *, int)"
0.8,171071,80,2138.4,2464.0,1056,2592,604.4,"scale_kernel(float *, float, int)"
0.8,154846,20,7742.3,7712.0,7488,8095,183.1,"embedding_forward_kernel(const float *, const int *, float *, int, int)"
0.7,148637,20,7431.9,7536.0,6592,8383,473.3,"embedding_backward_kernel(const float *, const int *, float *, int, int)"
0.7,148383,20,7419.2,7392.0,7232,7712,148.4,"bias_add_residual_add_kernel_vec4(const float4 *, const float4 *, const float4 *, float4 *, int, int)"
0.6,115072,20,5753.6,5760.0,5472,6016,120.5,"bias_backward_kernel(const float *, float *, int, int, int)"
0.5,108447,20,5422.4,5408.0,5376,5728,75.9,"pos_embedding_kernel(const float *, float *, int, int, int)"
0.5,102624,20,5131.2,5104.0,4832,5504,194.6,"cross_entropy_kernel(const float *, const int *, float *, float *, int, float)"
0.5,91551,20,4577.6,4576.0,4544,4608,16.3,"pos_embedding_backward_kernel(const float *, float *, int, int, int)"
0.2,31231,20,1561.6,1568.0,1535,1600,22.3,"reduce_sum_kernel(const float *, float *, int)"
0.1,21953,20,1097.7,1088.0,1056,1121,21.1,"clip_scale_kernel(const float *, float *, float)"
0.1,20798,20,1039.9,1055.5,992,1056,19.4,"scale_device_scalar(float *, float)"
0.1,11520,9,1280.0,1056.0,928,2272,513.2,"init_weights_kernel(float *, int, float, unsigned int)"

Processing [profiles/h256_comm_pinned_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
52.1,6824586,84,81245.1,89887.5,351,382621,61055.3,[CUDA memcpy Host-to-Device]
43.0,5632592,82,68690.1,80895.0,1344,331870,45717.1,[CUDA memcpy Device-to-Host]
4.9,643579,177,3636.0,352.0,288,20544,4985.5,[CUDA memset]

Processing [profiles/h256_comm_pinned_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 
Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
285.029,177,1.610,0.000,0.000,8.389,2.419,[CUDA memset]
75.856,84,0.903,1.052,0.001,4.391,0.691,[CUDA memcpy Host-to-Device]
70.426,82,0.859,1.052,0.000,3.354,0.500,[CUDA memcpy Device-to-Host]

Processing [profiles/h256_comm_pinned_85276_rank0.sqlite] with [/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/profilers/Nsight_Systems/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.7,27908414,166,168123.0,106476.0,7084,467686,134834.7,cudaMemcpy_ptds
30.9,26381572,42,628132.7,484945.0,5380,10746366,1638667.3,cudaFree
14.4,12315050,44,279887.5,306405.5,2083,714495,208433.2,cudaMalloc
7.5,6427403,600,10712.3,4007.5,3437,3923419,160008.9,cudaLaunchKernel
4.4,3748285,529,7085.6,4298.0,3646,330166,21004.1,cudaLaunchKernel_ptsz
3.5,2986319,120,24886.0,586.0,451,2737220,249778.6,cudaOccupancyMaxActiveBlocksPerMultiprocessor
3.4,2939975,4,734993.8,922194.0,4739,1090848,494308.6,cudaHostAlloc
1.5,1311408,4,327852.0,350014.0,14338,597042,239507.3,cudaFreeHost
0.5,426884,84,5082.0,4734.0,2815,33564,3503.1,cudaMemsetAsync_ptsz
0.4,304920,33,9240.0,8006.0,4498,59282,9144.0,cudaMemset_ptds
0.3,285562,766,372.8,311.0,120,3737,271.7,cuGetProcAddress_v2
0.3,234253,60,3904.2,3526.5,3026,13726,1481.9,cudaMemsetAsync
0.1,80363,21,3826.8,3607.0,3096,8987,1210.2,cudaDeviceSynchronize
0.0,17515,18,973.1,511.0,391,4428,1124.0,cudaEventCreateWithFlags
0.0,3918,3,1306.0,351.0,180,3387,1804.2,cuModuleGetLoadingMode
0.0,2173,2,1086.5,1086.5,701,1472,545.2,cuInit
0.0,1282,2,641.0,641.0,340,942,425.7,cudaGetDriverEntryPoint_v11030

