hidden,backend,requested_sync_mode,effective_sync,bucket_kb,repeat,requested_steps,lr,avg_logged_loss,steps_rank,time_ms,throughput_tok_s,throughput_mtok_s,avg_grad_sync_ms,avg_grad_start_ms,avg_grad_finish_ms,checksum_span,valid
512,direct,blocking,blocking,0,1,30,5e-5,3.2565,30,355.0,691885.0,0.691885,10.547,,,1.171e-05,yes
512,pinned,overlap,overlap,1024,1,30,5e-5,3.2632,30,396.0,621176.0,0.621176,,3.307,8.622,1.008e-05,yes
512,openmp_thread,overlap,overlap,1024,1,30,5e-5,3.2635,30,286.0,860514.0,0.860514,,0.013,8.112,8.342e-06,yes
512,pinned,overlap,overlap,2048,1,30,5e-5,3.2671,30,434.0,565862.0,0.565862,,3.357,9.844,1.028e-05,yes
512,openmp_thread,overlap,overlap,2048,1,30,5e-5,3.2541,30,280.0,878881.0,0.878881,,0.013,7.962,1.585e-05,yes
512,pinned,overlap,overlap,4096,1,30,5e-5,3.2599,30,428.0,574020.0,0.57402,,3.472,9.685,3.764e-06,yes
512,openmp_thread,overlap,overlap,4096,1,30,5e-5,3.2468,30,280.0,876559.0,0.876559,,0.012,7.981,8.891e-06,yes
512,direct,blocking,blocking,0,2,30,5e-5,3.2437,30,365.0,673192.0,0.673192,10.742,,,5.509e-06,yes
512,pinned,overlap,overlap,1024,2,30,5e-5,3.2479,30,434.0,566009.0,0.566009,,3.298,9.905,1.096e-05,yes
512,openmp_thread,overlap,overlap,1024,2,30,5e-5,3.2366,30,283.0,868079.0,0.868079,,0.013,7.962,1.528e-05,yes
512,pinned,overlap,overlap,2048,2,30,5e-5,3.2611,30,432.0,568687.0,0.568687,,3.345,9.672,7.667e-06,yes
512,openmp_thread,overlap,overlap,2048,2,30,5e-5,3.2683,30,279.0,882303.0,0.882303,,0.012,7.89,1.236e-05,yes
512,pinned,overlap,overlap,4096,2,30,5e-5,3.2407,30,430.0,571624.0,0.571624,,3.267,9.748,5.866e-06,yes
512,openmp_thread,overlap,overlap,4096,2,30,5e-5,3.2414,30,279.0,880090.0,0.88009,,0.014,7.962,5.423e-06,yes
512,direct,blocking,blocking,0,3,30,5e-5,3.2410,30,354.0,693714.0,0.693714,10.333,,,1.264e-05,yes
512,pinned,overlap,overlap,1024,3,30,5e-5,3.2612,30,436.0,563855.0,0.563855,,3.335,9.831,1.314e-05,yes
512,openmp_thread,overlap,overlap,1024,3,30,5e-5,3.2652,30,284.0,865644.0,0.865644,,0.014,8.105,4.769e-06,yes
512,pinned,overlap,overlap,2048,3,30,5e-5,3.2647,30,427.0,575104.0,0.575104,,3.26,9.602,9.896e-06,yes
512,openmp_thread,overlap,overlap,2048,3,30,5e-5,3.2561,30,280.0,876355.0,0.876355,,0.012,7.954,6.061e-06,yes
512,pinned,overlap,overlap,4096,3,30,5e-5,3.2405,30,428.0,573577.0,0.573577,,3.302,9.649,6.021e-06,yes
512,openmp_thread,overlap,overlap,4096,3,30,5e-5,3.2516,30,280.0,879020.0,0.87902,,0.013,7.891,5.629e-06,yes
