hidden,backend,requested_sync_mode,effective_sync,bucket_kb,repeat,requested_steps,lr,avg_logged_loss,steps_rank,time_ms,throughput_tok_s,throughput_mtok_s,avg_grad_sync_ms,avg_grad_start_ms,avg_grad_finish_ms,checksum_span,valid
128,custom,blocking,blocking,0,1,50,3e-4,3.1525,50,85.0,4825898.0,4.825898,1.514,,,9.551e-06,yes
128,custom,overlap,overlap,256,1,50,3e-4,3.1501,50,82.0,4969994.0,4.969994,,0.839,0.648,3.598e-06,yes
128,custom,blocking,blocking,0,2,50,3e-4,3.1436,50,85.0,4826953.0,4.826953,1.513,,,1.008e-05,yes
128,custom,overlap,overlap,256,2,50,3e-4,3.1556,50,82.0,4981885.0,4.981885,,0.836,0.643,5.596e-06,yes
128,custom,blocking,blocking,0,3,50,3e-4,3.1587,50,85.0,4838444.0,4.838444,1.513,,,1.024e-05,yes
128,custom,overlap,overlap,256,3,50,3e-4,3.1533,50,83.0,4955582.0,4.955582,,0.837,0.645,4.361e-06,yes
128,custom,blocking,blocking,0,4,50,3e-4,3.1563,50,85.0,4807802.0,4.807802,1.521,,,1.029e-05,yes
128,custom,overlap,overlap,256,4,50,3e-4,3.1444,50,82.0,4966350.0,4.96635,,0.839,0.646,9.303e-06,yes
128,custom,blocking,blocking,0,5,50,3e-4,3.1632,50,85.0,4832246.0,4.832246,1.512,,,2.401e-06,yes
128,custom,overlap,overlap,256,5,50,3e-4,3.1690,50,82.0,4981088.0,4.981088,,0.838,0.638,3.309e-06,yes
128,cublas_tc,blocking,blocking,0,1,50,3e-4,3.2381,50,106.0,3870670.0,3.87067,1.258,,,3.175e-06,yes
128,cublas_tc,overlap,overlap,256,1,50,3e-4,3.2382,50,105.0,3902697.0,3.902697,,0.518,0.703,6.793e-06,yes
128,cublas_tc,blocking,blocking,0,2,50,3e-4,3.2388,50,106.0,3849668.0,3.849668,1.203,,,1.123e-06,yes
128,cublas_tc,overlap,overlap,256,2,50,3e-4,3.2382,50,105.0,3919090.0,3.91909,,0.52,0.669,4.787e-06,yes
128,cublas_tc,blocking,blocking,0,3,50,3e-4,3.2382,50,107.0,3844036.0,3.844036,1.196,,,1.891e-06,yes
128,cublas_tc,overlap,overlap,256,3,50,3e-4,3.2382,50,105.0,3904180.0,3.90418,,0.513,0.693,3.763e-06,yes
128,cublas_tc,blocking,blocking,0,4,50,3e-4,3.2384,50,108.0,3799298.0,3.799298,1.199,,,1.078e-05,yes
128,cublas_tc,overlap,overlap,256,4,50,3e-4,3.2383,50,104.0,3955946.0,3.955946,,0.515,0.653,5.938e-06,yes
128,cublas_tc,blocking,blocking,0,5,50,3e-4,3.2382,50,107.0,3827698.0,3.827698,1.218,,,5.455e-06,yes
128,cublas_tc,overlap,overlap,256,5,50,3e-4,3.2381,50,103.0,3960627.0,3.960627,,0.514,0.711,7.698e-06,yes
