=== Environment ===
hpcc-gpu-5-4
0, Quadro RTX 6000, 23040 MiB
1, Quadro RTX 6000, 23040 MiB
2, Quadro RTX 6000, 23040 MiB
3, Quadro RTX 6000, 23040 MiB
=== GPU state: start ===
index, name, temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
0, Quadro RTX 6000, 27, 300 MHz, 405 MHz, 10.82 W, 0 %, 0 MiB
1, Quadro RTX 6000, 32, 300 MHz, 405 MHz, 6.54 W, 0 %, 0 MiB
2, Quadro RTX 6000, 28, 300 MHz, 405 MHz, 4.75 W, 0 %, 0 MiB
3, Quadro RTX 6000, 28, 300 MHz, 405 MHz, 7.18 W, 0 %, 0 MiB
min_bytes=4KB
max_bytes=32MB
iters=50
warmup=10
rank_list=2 4
backends=host_pinned device
=== Build alpha_beta_bench ===
mkdir -p build_mpi_alpha_beta_88903
nvcc -arch=sm_75 -std=c++17 -O2 -Iinclude --default-stream per-thread -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/math_libs/12.3/targets/x86_64-linux/include   -DUSE_MPI -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/hwloc/hwloc201/hwloc/include -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/event/libevent2022/libevent -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/event/libevent2022/libevent/include -Xcompiler -pthread -Xcompiler -fopenmp -DUSE_NCCL -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/include -c tests/benchmark_allreduce_alpha_beta.cu -o build_mpi_alpha_beta_88903/benchmark_allreduce_alpha_beta.o
mpicxx -o build_mpi_alpha_beta_88903/benchmark_allreduce_alpha_beta build_mpi_alpha_beta_88903/benchmark_allreduce_alpha_beta.o -pthread -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/lib -Wl,-rpath -Wl,/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/lib -Wl,--enable-new-dtags -lmpi -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/REDIST/cuda/12.3/targets/x86_64-linux/lib -lcudart \
    -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/lib -Xlinker -rpath -Xlinker /home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/lib -lnccl  -fopenmp
=== allreduce_alpha_beta ranks=2 backend=host_pinned min_bytes=4KB max_bytes=32MB iters=50 warmup=10 ===
allreduce_alpha_beta,backend,ranks,bytes,count,iteration,time_ms
allreduce_alpha_beta,host_pinned,2,4096,1024,1,0.013255
allreduce_alpha_beta,host_pinned,2,4096,1024,2,0.013045
allreduce_alpha_beta,host_pinned,2,4096,1024,3,0.012544
allreduce_alpha_beta,host_pinned,2,4096,1024,4,0.007644
allreduce_alpha_beta,host_pinned,2,4096,1024,5,0.016011
allreduce_alpha_beta,host_pinned,2,4096,1024,6,0.012934
allreduce_alpha_beta,host_pinned,2,4096,1024,7,0.015880
allreduce_alpha_beta,host_pinned,2,4096,1024,8,0.018144
allreduce_alpha_beta,host_pinned,2,4096,1024,9,0.009038
allreduce_alpha_beta,host_pinned,2,4096,1024,10,0.006683
allreduce_alpha_beta,host_pinned,2,4096,1024,11,0.007644
allreduce_alpha_beta,host_pinned,2,4096,1024,12,0.015058
allreduce_alpha_beta,host_pinned,2,4096,1024,13,0.014247
allreduce_alpha_beta,host_pinned,2,4096,1024,14,0.016621
allreduce_alpha_beta,host_pinned,2,4096,1024,15,0.011001
allreduce_alpha_beta,host_pinned,2,4096,1024,16,0.007514
allreduce_alpha_beta,host_pinned,2,4096,1024,17,0.010170
allreduce_alpha_beta,host_pinned,2,4096,1024,18,0.012504
allreduce_alpha_beta,host_pinned,2,4096,1024,19,0.017995
allreduce_alpha_beta,host_pinned,2,4096,1024,20,0.013145
allreduce_alpha_beta,host_pinned,2,4096,1024,21,0.013425
allreduce_alpha_beta,host_pinned,2,4096,1024,22,0.013486
allreduce_alpha_beta,host_pinned,2,4096,1024,23,0.013946
allreduce_alpha_beta,host_pinned,2,4096,1024,24,0.015640
allreduce_alpha_beta,host_pinned,2,4096,1024,25,0.009898
allreduce_alpha_beta,host_pinned,2,4096,1024,26,0.012705
allreduce_alpha_beta,host_pinned,2,4096,1024,27,0.013736
allreduce_alpha_beta,host_pinned,2,4096,1024,28,0.015820
allreduce_alpha_beta,host_pinned,2,4096,1024,29,0.018335
allreduce_alpha_beta,host_pinned,2,4096,1024,30,0.015379
allreduce_alpha_beta,host_pinned,2,4096,1024,31,0.007725
allreduce_alpha_beta,host_pinned,2,4096,1024,32,0.006863
allreduce_alpha_beta,host_pinned,2,4096,1024,33,0.013987
allreduce_alpha_beta,host_pinned,2,4096,1024,34,0.015900
allreduce_alpha_beta,host_pinned,2,4096,1024,35,0.014928
allreduce_alpha_beta,host_pinned,2,4096,1024,36,0.013335
allreduce_alpha_beta,host_pinned,2,4096,1024,37,0.007534
allreduce_alpha_beta,host_pinned,2,4096,1024,38,0.006884
allreduce_alpha_beta,host_pinned,2,4096,1024,39,0.015369
allreduce_alpha_beta,host_pinned,2,4096,1024,40,0.014367
allreduce_alpha_beta,host_pinned,2,4096,1024,41,0.013636
allreduce_alpha_beta,host_pinned,2,4096,1024,42,0.012994
allreduce_alpha_beta,host_pinned,2,4096,1024,43,0.014207
allreduce_alpha_beta,host_pinned,2,4096,1024,44,0.014177
allreduce_alpha_beta,host_pinned,2,4096,1024,45,0.013015
allreduce_alpha_beta,host_pinned,2,4096,1024,46,0.012964
allreduce_alpha_beta,host_pinned,2,4096,1024,47,0.011772
allreduce_alpha_beta,host_pinned,2,4096,1024,48,0.012334
allreduce_alpha_beta,host_pinned,2,4096,1024,49,0.015309
allreduce_alpha_beta,host_pinned,2,4096,1024,50,0.016812
allreduce_alpha_beta,host_pinned,2,8192,2048,1,0.009178
allreduce_alpha_beta,host_pinned,2,8192,2048,2,0.012103
allreduce_alpha_beta,host_pinned,2,8192,2048,3,0.012053
allreduce_alpha_beta,host_pinned,2,8192,2048,4,0.014507
allreduce_alpha_beta,host_pinned,2,8192,2048,5,0.010850
allreduce_alpha_beta,host_pinned,2,8192,2048,6,0.010811
allreduce_alpha_beta,host_pinned,2,8192,2048,7,0.011722
allreduce_alpha_beta,host_pinned,2,8192,2048,8,0.012684
allreduce_alpha_beta,host_pinned,2,8192,2048,9,0.012294
allreduce_alpha_beta,host_pinned,2,8192,2048,10,0.011832
allreduce_alpha_beta,host_pinned,2,8192,2048,11,0.010821
allreduce_alpha_beta,host_pinned,2,8192,2048,12,0.012854
allreduce_alpha_beta,host_pinned,2,8192,2048,13,0.011491
allreduce_alpha_beta,host_pinned,2,8192,2048,14,0.011151
allreduce_alpha_beta,host_pinned,2,8192,2048,15,0.013956
allreduce_alpha_beta,host_pinned,2,8192,2048,16,0.011242
allreduce_alpha_beta,host_pinned,2,8192,2048,17,0.013246
allreduce_alpha_beta,host_pinned,2,8192,2048,18,0.010910
