=== Environment ===
hpcc-gpu-5-3
0, Quadro RTX 6000, 23040 MiB
1, Quadro RTX 6000, 23040 MiB
2, Quadro RTX 6000, 23040 MiB
3, Quadro RTX 6000, 23040 MiB
=== GPU state: start ===
index, name, temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
0, Quadro RTX 6000, 27, 300 MHz, 405 MHz, 16.69 W, 0 %, 0 MiB
1, Quadro RTX 6000, 32, 300 MHz, 405 MHz, 16.39 W, 0 %, 0 MiB
2, Quadro RTX 6000, 28, 300 MHz, 405 MHz, 16.76 W, 0 %, 0 MiB
3, Quadro RTX 6000, 27, 300 MHz, 405 MHz, 4.08 W, 0 %, 0 MiB
min_bytes=4KB
max_bytes=32MB
iters=50
warmup=10
rank_list=2 4
backends=device nccl
=== Build alpha_beta_bench with NCCL support ===
mkdir -p build_mpi_nccl_alpha_beta_89261
nvcc -arch=sm_75 -std=c++17 -O2 -Iinclude --default-stream per-thread -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/math_libs/12.3/targets/x86_64-linux/include   -DUSE_MPI -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/hwloc/hwloc201/hwloc/include -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/event/libevent2022/libevent -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/include/openmpi/opal/mca/event/libevent2022/libevent/include -Xcompiler -pthread -Xcompiler -fopenmp -DUSE_NCCL -I/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/include -c tests/benchmark_allreduce_alpha_beta.cu -o build_mpi_nccl_alpha_beta_89261/benchmark_allreduce_alpha_beta.o
mpicxx -o build_mpi_nccl_alpha_beta_89261/benchmark_allreduce_alpha_beta build_mpi_nccl_alpha_beta_89261/benchmark_allreduce_alpha_beta.o -pthread -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/lib -Wl,-rpath -Wl,/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/hpcx/hpcx-2.17.1/ompi/lib -Wl,--enable-new-dtags -lmpi -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/REDIST/cuda/12.3/targets/x86_64-linux/lib -lcudart \
    -L/home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/lib -Xlinker -rpath -Xlinker /home/cme213/software/nvidia-hpc-sdk/2024_24.1/Linux_x86_64/24.1/comm_libs/12.3/nccl/lib -lnccl  -fopenmp
=== nccl_allreduce_baseline ranks=2 backend=device min_bytes=4KB max_bytes=32MB iters=50 warmup=10 ===
allreduce_alpha_beta,backend,ranks,bytes,count,iteration,time_ms
allreduce_alpha_beta,device,2,4096,1024,1,0.041088
allreduce_alpha_beta,device,2,4096,1024,2,0.046127
allreduce_alpha_beta,device,2,4096,1024,3,0.042410
allreduce_alpha_beta,device,2,4096,1024,4,0.036710
allreduce_alpha_beta,device,2,4096,1024,5,0.041429
allreduce_alpha_beta,device,2,4096,1024,6,0.038182
allreduce_alpha_beta,device,2,4096,1024,7,0.042541
allreduce_alpha_beta,device,2,4096,1024,8,0.041299
allreduce_alpha_beta,device,2,4096,1024,9,0.039515
allreduce_alpha_beta,device,2,4096,1024,10,0.040156
allreduce_alpha_beta,device,2,4096,1024,11,0.037190
allreduce_alpha_beta,device,2,4096,1024,12,0.046768
allreduce_alpha_beta,device,2,4096,1024,13,0.044013
allreduce_alpha_beta,device,2,4096,1024,14,0.040617
allreduce_alpha_beta,device,2,4096,1024,15,0.036108
allreduce_alpha_beta,device,2,4096,1024,16,0.034535
allreduce_alpha_beta,device,2,4096,1024,17,0.040978
allreduce_alpha_beta,device,2,4096,1024,18,0.041499
allreduce_alpha_beta,device,2,4096,1024,19,0.044314
allreduce_alpha_beta,device,2,4096,1024,20,0.042982
allreduce_alpha_beta,device,2,4096,1024,21,0.039735
allreduce_alpha_beta,device,2,4096,1024,22,0.039605
allreduce_alpha_beta,device,2,4096,1024,23,0.041508
allreduce_alpha_beta,device,2,4096,1024,24,0.043412
allreduce_alpha_beta,device,2,4096,1024,25,0.038904
allreduce_alpha_beta,device,2,4096,1024,26,0.038223
allreduce_alpha_beta,device,2,4096,1024,27,0.039585
allreduce_alpha_beta,device,2,4096,1024,28,0.046287
allreduce_alpha_beta,device,2,4096,1024,29,0.043312
allreduce_alpha_beta,device,2,4096,1024,30,0.042991
allreduce_alpha_beta,device,2,4096,1024,31,0.045426
allreduce_alpha_beta,device,2,4096,1024,32,0.036119
allreduce_alpha_beta,device,2,4096,1024,33,0.043292
allreduce_alpha_beta,device,2,4096,1024,34,0.042791
allreduce_alpha_beta,device,2,4096,1024,35,0.042340
allreduce_alpha_beta,device,2,4096,1024,36,0.039305
allreduce_alpha_beta,device,2,4096,1024,37,0.035868
allreduce_alpha_beta,device,2,4096,1024,38,0.036269
allreduce_alpha_beta,device,2,4096,1024,39,0.042441
allreduce_alpha_beta,device,2,4096,1024,40,0.043662
allreduce_alpha_beta,device,2,4096,1024,41,0.045917
allreduce_alpha_beta,device,2,4096,1024,42,0.038533
allreduce_alpha_beta,device,2,4096,1024,43,0.037150
allreduce_alpha_beta,device,2,4096,1024,44,0.039515
allreduce_alpha_beta,device,2,4096,1024,45,0.040607
allreduce_alpha_beta,device,2,4096,1024,46,0.039164
allreduce_alpha_beta,device,2,4096,1024,47,0.042470
allreduce_alpha_beta,device,2,4096,1024,48,0.038302
allreduce_alpha_beta,device,2,4096,1024,49,0.041058
allreduce_alpha_beta,device,2,4096,1024,50,0.041760
allreduce_alpha_beta_valid,device,2,4096,yes
allreduce_alpha_beta,device,2,8192,2048,1,0.038744
allreduce_alpha_beta,device,2,8192,2048,2,0.042240
allreduce_alpha_beta,device,2,8192,2048,3,0.038803
allreduce_alpha_beta,device,2,8192,2048,4,0.039725
allreduce_alpha_beta,device,2,8192,2048,5,0.044184
allreduce_alpha_beta,device,2,8192,2048,6,0.040898
allreduce_alpha_beta,device,2,8192,2048,7,0.043021
allreduce_alpha_beta,device,2,8192,2048,8,0.043963
allreduce_alpha_beta,device,2,8192,2048,9,0.043432
allreduce_alpha_beta,device,2,8192,2048,10,0.040607
allreduce_alpha_beta,device,2,8192,2048,11,0.038954
allreduce_alpha_beta,device,2,8192,2048,12,0.041057
allreduce_alpha_beta,device,2,8192,2048,13,0.040627
allreduce_alpha_beta,device,2,8192,2048,14,0.039484
allreduce_alpha_beta,device,2,8192,2048,15,0.041288
allreduce_alpha_beta,device,2,8192,2048,16,0.041729
allreduce_alpha_beta,device,2,8192,2048,17,0.042160
allreduce_alpha_beta,device,2,8192,2048,18,0.046658
allreduce_alpha_beta,device,2,8192,2048,19,0.042190
allreduce_alpha_beta,device,2,8192,2048,20,0.040086
allreduce_alpha_beta,device,2,8192,2048,21,0.042841
allreduce_alpha_beta,device,2,8192,2048,22,0.042030
allreduce_alpha_beta,device,2,8192,2048,23,0.040237
allreduce_alpha_beta,device,2,8192,2048,24,0.038463
allreduce_alpha_beta,device,2,8192,2048,25,0.043102
allreduce_alpha_beta,device,2,8192,2048,26,0.041088
allreduce_alpha_beta,device,2,8192,2048,27,0.037531
allreduce_alpha_beta,device,2,8192,2048,28,0.041259
allreduce_alpha_beta,device,2,8192,2048,29,0.046779
allreduce_alpha_beta,device,2,8192,2048,30,0.040276
allreduce_alpha_beta,device,2,8192,2048,31,0.038283
allreduce_alpha_beta,device,2,8192,2048,32,0.037822
allreduce_alpha_beta,device,2,8192,2048,33,0.040316
allreduce_alpha_beta,device,2,8192,2048,34,0.040045
allreduce_alpha_beta,device,2,8192,2048,35,0.040567
allreduce_alpha_beta,device,2,8192,2048,36,0.042070
allreduce_alpha_beta,device,2,8192,2048,37,0.043122
allreduce_alpha_beta,device,2,8192,2048,38,0.043102
allreduce_alpha_beta,device,2,8192,2048,39,0.047660
allreduce_alpha_beta,device,2,8192,2048,40,0.037572
allreduce_alpha_beta,device,2,8192,2048,41,0.040627
allreduce_alpha_beta,device,2,8192,2048,42,0.041379
allreduce_alpha_beta,device,2,8192,2048,43,0.039735
allreduce_alpha_beta,device,2,8192,2048,44,0.042250
allreduce_alpha_beta,device,2,8192,2048,45,0.046759
allreduce_alpha_beta,device,2,8192,2048,46,0.041819
allreduce_alpha_beta,device,2,8192,2048,47,0.041218
allreduce_alpha_beta,device,2,8192,2048,48,0.040848
allreduce_alpha_beta,device,2,8192,2048,49,0.045146
allreduce_alpha_beta,device,2,8192,2048,50,0.039966
allreduce_alpha_beta_valid,device,2,8192,yes
allreduce_alpha_beta,device,2,16384,4096,1,0.058220
allreduce_alpha_beta,device,2,16384,4096,2,0.056617
allreduce_alpha_beta,device,2,16384,4096,3,0.063621
allreduce_alpha_beta,device,2,16384,4096,4,0.055856
allreduce_alpha_beta,device,2,16384,4096,5,0.055997
allreduce_alpha_beta,device,2,16384,4096,6,0.053912
allreduce_alpha_beta,device,2,16384,4096,7,0.055455
allreduce_alpha_beta,device,2,16384,4096,8,0.058571
allreduce_alpha_beta,device,2,16384,4096,9,0.058551
allreduce_alpha_beta,device,2,16384,4096,10,0.056567
allreduce_alpha_beta,device,2,16384,4096,11,0.052059
allreduce_alpha_beta,device,2,16384,4096,12,0.051688
allreduce_alpha_beta,device,2,16384,4096,13,0.056367
allreduce_alpha_beta,device,2,16384,4096,14,0.052770
allreduce_alpha_beta,device,2,16384,4096,15,0.052640
allreduce_alpha_beta,device,2,16384,4096,16,0.054423
allreduce_alpha_beta,device,2,16384,4096,17,0.052870
allreduce_alpha_beta,device,2,16384,4096,18,0.055976
allreduce_alpha_beta,device,2,16384,4096,19,0.054653
allreduce_alpha_beta,device,2,16384,4096,20,0.058881
allreduce_alpha_beta,device,2,16384,4096,21,0.056757
allreduce_alpha_beta,device,2,16384,4096,22,0.055264
allreduce_alpha_beta,device,2,16384,4096,23,0.053381
allreduce_alpha_beta,device,2,16384,4096,24,0.053492
allreduce_alpha_beta,device,2,16384,4096,25,0.054143
allreduce_alpha_beta,device,2,16384,4096,26,0.054393
